boro_name,county,boroct,boro,tract2010,puma,nta,Name
Bronx,005,2031000,2,031000,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2031200,2,031200,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2031400,2,031400,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2031600,2,031600,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2031800,2,031800,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2032600,2,032600,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2034200,2,034200,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2034400,2,034400,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2034800,2,034800,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2035000,2,035000,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2036000,2,036000,3704,BX31,Allerton-Pelham Gardens
Bronx,005,2023702,2,023702,3706,BX05,Bedford Park-Fordham North
Bronx,005,2039901,2,039901,3706,BX05,Bedford Park-Fordham North
Bronx,005,2039902,2,039902,3706,BX05,Bedford Park-Fordham North
Bronx,005,2040100,2,040100,3706,BX05,Bedford Park-Fordham North
Bronx,005,2040302,2,040302,3706,BX05,Bedford Park-Fordham North
Bronx,005,2040501,2,040501,3706,BX05,Bedford Park-Fordham North
Bronx,005,2040502,2,040502,3706,BX05,Bedford Park-Fordham North
Bronx,005,2040702,2,040702,3706,BX05,Bedford Park-Fordham North
Bronx,005,2041100,2,041100,3706,BX05,Bedford Park-Fordham North
Bronx,005,2041300,2,041300,3706,BX05,Bedford Park-Fordham North
Bronx,005,2041500,2,041500,3706,BX05,Bedford Park-Fordham North
Bronx,005,2038700,2,038700,3705,BX06,Belmont
Bronx,005,2038900,2,038900,3705,BX06,Belmont
Bronx,005,2039100,2,039100,3705,BX06,Belmont
Bronx,005,2039300,2,039300,3705,BX06,Belmont
Bronx,005,2039700,2,039700,3705,BX06,Belmont
Bronx,005,2032400,2,032400,3704,BX07,Bronxdale
Bronx,005,2032800,2,032800,3704,BX07,Bronxdale
Bronx,005,2033000,2,033000,3704,BX07,Bronxdale
Bronx,005,2033201,2,033201,3704,BX07,Bronxdale
Bronx,005,2033202,2,033202,3704,BX07,Bronxdale
Bronx,005,2033600,2,033600,3704,BX07,Bronxdale
Bronx,005,2033800,2,033800,3704,BX07,Bronxdale
Bronx,005,2034000,2,034000,3704,BX07,Bronxdale
Bronx,005,2014500,2,014500,3705,BX01,Claremont-Bathgate
Bronx,005,2014701,2,014701,3705,BX01,Claremont-Bathgate
