boroct,boro_name,boro,tract2010,puma,nta
2031000,Bronx,2,031000,3704,BX31
2031200,Bronx,2,031200,3704,BX31
2031400,Bronx,2,031400,3704,BX31
2031600,Bronx,2,031600,3704,BX31
2031800,Bronx,2,031800,3704,BX31
2032600,Bronx,2,032600,3704,BX31
2034200,Bronx,2,034200,3704,BX31
2034400,Bronx,2,034400,3704,BX31
2034800,Bronx,2,034800,3704,BX31
2035000,Bronx,2,035000,3704,BX31
2036000,Bronx,2,036000,3704,BX31
2023702,Bronx,2,023702,3706,BX05
2039901,Bronx,2,039901,3706,BX05
2039902,Bronx,2,039902,3706,BX05
2040100,Bronx,2,040100,3706,BX05
2040302,Bronx,2,040302,3706,BX05
2040501,Bronx,2,040501,3706,BX05
2040502,Bronx,2,040502,3706,BX05
2040702,Bronx,2,040702,3706,BX05
2041100,Bronx,2,041100,3706,BX05
2041300,Bronx,2,041300,3706,BX05
2041500,Bronx,2,041500,3706,BX05
2038700,Bronx,2,038700,3705,BX06
2038900,Bronx,2,038900,3705,BX06
2039100,Bronx,2,039100,3705,BX06
2039300,Bronx,2,039300,3705,BX06
2039700,Bronx,2,039700,3705,BX06
2032400,Bronx,2,032400,3704,BX07
2032800,Bronx,2,032800,3704,BX07
2033000,Bronx,2,033000,3704,BX07
2033201,Bronx,2,033201,3704,BX07
2033202,Bronx,2,033202,3704,BX07
2033600,Bronx,2,033600,3704,BX07
2033800,Bronx,2,033800,3704,BX07
2034000,Bronx,2,034000,3704,BX07
2014500,Bronx,2,014500,3705,BX01
2014701,Bronx,2,014701,3705,BX01
2014702,Bronx,2,014702,3705,BX01
2016500,Bronx,2,016500,3705,BX01
2016700,Bronx,2,016700,3705,BX01
2016900,Bronx,2,016900,3705,BX01
2038500,Bronx,2,038500,3705,BX01
2039500,Bronx,2,039500,3705,BX01
2030200,Bronx,2,030200,3703,BX13
2046201,Bronx,2,046201,3703,BX13
2046202,Bronx,2,046202,3703,BX13
2006000,Bronx,2,006000,3705,BX75
2012300,Bronx,2,012300,3705,BX75
2015300,Bronx,2,015300,3705,BX75
2015500,Bronx,2,015500,3705,BX75
2015700,Bronx,2,015700,3705,BX75
2016100,Bronx,2,016100,3705,BX75
2005902,Bronx,2,005902,3708,BX14
2006100,Bronx,2,006100,3708,BX14
2014300,Bronx,2,014300,3708,BX14
2017300,Bronx,2,017300,3708,BX14
2017500,Bronx,2,017500,3708,BX14
2017701,Bronx,2,017701,3708,BX14
2017702,Bronx,2,017702,3708,BX14
2017901,Bronx,2,017901,3708,BX14
2017902,Bronx,2,017902,3708,BX14
2018101,Bronx,2,018101,3708,BX14
2018102,Bronx,2,018102,3708,BX14
2018301,Bronx,2,018301,3708,BX14
2018302,Bronx,2,018302,3708,BX14
2022500,Bronx,2,022500,3708,BX14
2022000,Bronx,2,022000,3705,BX17
2035900,Bronx,2,035900,3705,BX17
2036100,Bronx,2,036100,3705,BX17
2036300,Bronx,2,036300,3705,BX17
2036501,Bronx,2,036501,3705,BX17
2036502,Bronx,2,036502,3705,BX17
2036700,Bronx,2,036700,3705,BX17
2036901,Bronx,2,036901,3705,BX17
2036902,Bronx,2,036902,3705,BX17
2037100,Bronx,2,037100,3705,BX17
2037300,Bronx,2,037300,3705,BX17
2037504,Bronx,2,037504,3705,BX17
2035600,Bronx,2,035600,3702,BX03
2035800,Bronx,2,035800,3702,BX03
2036400,Bronx,2,036400,3702,BX03
2038600,Bronx,2,038600,3702,BX03
2045600,Bronx,2,045600,3702,BX03
2045800,Bronx,2,045800,3702,BX03
2046000,Bronx,2,046000,3702,BX03
2048400,Bronx,2,048400,3702,BX03
2023703,Bronx,2,023703,3707,BX40
2023704,Bronx,2,023704,3707,BX40
2023900,Bronx,2,023900,3707,BX40
2038301,Bronx,2,038301,3707,BX40
2038302,Bronx,2,038302,3707,BX40
2018900,Bronx,2,018900,3708,BX26
2019300,Bronx,2,019300,3708,BX26
