BBL,Borough,Block,Lot,CD,CT2010,CB2010,Address,BldgClass,Tract2010
1000010010,MN,1,10,101,5,1011,1 GOVERNORS ISLAND,Y4,000500
1000010101,MN,1,101,101,1,1001,1 LIBERTY ISLAND,P7,000100
1000010201,MN,1,201,101,1,1000,1 ELLIS ISLAND,Z9,000100
1000010301,MN,1,301,101,,,JOE DIMAGGIO HIGHWAY,U0,000000
1000010401,MN,1,401,101,,,JOE DIMAGGIO HIGHWAY,U0,000000
1000020001,MN,2,1,101,9,1025,4 SOUTH STREET,Y7,000900
1000020003,MN,2,3,101,9,,MARGINAL STREET,Y7,000900
1000020023,MN,2,23,101,9,1025,1 PIER 6,T2,000900
1000030001,MN,3,1,101,319,1000,10 BATTERY PARK,Q1,031900
1000030002,MN,3,2,101,9,1020,PETER MINUIT PLAZA,Q1,000900
1000030003,MN,3,3,101,9,1020,PETER MINUIT PLAZA,Q1,000900
1000030004,MN,3,4,101,15.02,3000,SOUTH STREET,Q0,00150200
1000030010,MN,3,10,101,319,1003,1 SOUTH STREET,O2,031900
1000047501,MN,4,7501,101,9,1019,1 WATER STREET,RC,000900
1000050010,MN,5,10,101,9,1017,115 BROAD STREET,O4,000900
1000057501,MN,5,7501,101,9,1017,125 BROAD STREET,RB,000900
1000060001,MN,6,1,101,9,1017,24 SOUTH STREET,Q9,000900
1000070027,MN,7,27,101,9,1016,30 WATER STREET,K2,000900
1000070028,MN,7,28,101,9,1016,28 WATER STREET,K4,000900
1000070029,MN,7,29,101,9,1016,26 WATER STREET,P7,000900
1000070030,MN,7,30,101,9,1016,24 WATER STREET,P7,000900
1000070031,MN,7,31,101,9,1016,105 BROAD STREET,K4,000900
1000070033,MN,7,33,101,9,1016,101 BROAD STREET,P7,000900
1000070035,MN,7,35,101,9,1016,99 BROAD STREET,P7,000900
1000070037,MN,7,37,101,9,1016,58 PEARL STREET,P7,000900
1000070038,MN,7,38,101,9,1016,60 PEARL STREET,S9,000900
1000077501,MN,7,7501,101,9,1016,1 COENTIES SLIP,RM,000900
1000077502,MN,7,7502,101,9,1016,32 WATER STREET,RM,000900
1000080044,MN,8,44,101,9,1015,102 BROAD STREET,U4,000900
1000080051,MN,8,51,101,9,1015,6 WATER STREET,H2,000900
1000087501,MN,8,7501,101,9,1014,39 WHITEHALL STREET,RM,000900
1000090007,MN,9,7,101,9,1020,7 STATE STREET,M1,000900
1000090014,MN,9,14,101,9,1013,17 STATE STREET,O4,000900
1000090029,MN,9,29,101,9,1008,24 STATE STREET,O4,000900
1000100001,MN,10,1,101,9,1009,100 BROAD STREET,K4,000900
1000100014,MN,10,14,101,9,1009,33 WHITEHALL STREET,O4,000900
1000100015,MN,10,15,101,9,1009,27 WHITEHALL STREET,O6,000900
1000100019,MN,10,19,101,9,1026,25 BRIDGE STREET,K2,000900
1000100023,MN,10,23,101,9,1026,1 WHITEHALL STREET,O4,000900
1000100032,MN,10,32,101,9,1026,6 STONE STREET,K4,000900
1000100033,MN,10,33,101,9,1026,8 STONE STREET,H2,000900
1000110001,MN,11,1,101,9,1003,2 BROADWAY,O4,000900
1000110009,MN,11,9,101,9,1004,18 BEAVER STREET,K4,000900
1000110010,MN,11,10,101,9,1004,20 BEAVER STREET,S5,000900
1000110011,MN,11,11,101,9,1004,22 BEAVER STREET,K4,000900
1000110012,MN,11,12,101,9,1004,24 BEAVER STREET,K4,000900
1000110014,MN,11,14,101,9,1004,26 BEAVER STREET,D4,000900
1000110015,MN,11,15,101,9,1004,70 BROAD STREET,O8,000900
1000110017,MN,11,17,101,9,1003,74 BROAD STREET,O5,000900
1000110021,MN,11,21,101,9,1003,80 BROAD STREET,O4,000900
1000110028,MN,11,28,101,,,,,000000
1000117501,MN,11,7501,101,9,1003,15 STONE STREET,RM,000900
1000120001,MN,12,1,101,9,1007,1 BOWLING GREEN,P7,000900
1000120028,MN,12,28,101,9,,WHITEHALL STREET,Q1,000900
1000130001,MN,13,1,101,13,2008,1 BROADWAY,O6,001300
1000130005,MN,13,5,101,13,2008,11 BROADWAY,O4,001300
1000130027,MN,13,27,101,13,2008,25 BROADWAY,O4,001300
1000150022,MN,15,22,101,13,2005,21 WEST STREET,D8,001300
1000157501,MN,15,7501,101,13,2005,17 BATTERY PLACE,RM,001300
1000157502,MN,15,7502,101,13,2005,20 WEST STREET,RM,001300
1000160001,MN,16,1,101,317.04,4001,22 BATTERY PLACE,K2,03170400
1000160003,MN,16,3,101,317.03,2005,401 SOUTH END AVENUE,Z9,03170300
1000160010,MN,16,10,101,317.04,4001,18 1 PLACE,P7,03170400
1000160012,MN,16,12,101,,,MARGINAL STREET,T2,000000
1000160015,MN,16,15,101,317.04,4001,50 BATTERY PLACE,D8,03170400
1000160020,MN,16,20,101,317.04,4001,70 BATTERY PLACE,D8,03170400
1000160040,MN,16,40,101,317.04,4005,55 BATTERY PLACE,W1,03170400
1000160100,MN,16,100,101,317.04,1001,345 SOUTH END AVENUE,D6,03170400
1000160120,MN,16,120,101,317.04,1000,200 LIBERTY STREET,O4,03170400
1000160125,MN,16,125,101,13,1000,225 LIBERTY STREET,O4,001300
1000160140,MN,16,140,101,317.03,1001,200 VESEY STREET,O4,03170300
1000160150,MN,16,150,101,317.03,1001,250 VESEY STREET,O4,03170300
1000160160,MN,16,160,101,317.03,1001,MARGINAL STREET,Q8,03170300
1000160180,MN,16,180,101,317.03,2005,20 RIVER TERRACE,D8,03170300
1000160185,MN,16,185,101,317.03,2005,211 NORTH END AVENUE,D8,03170300
1000160195,MN,16,195,101,317.03,2005,325 NORTH END AVENUE,D8,03170300
1000160200,MN,16,200,101,317.03,2000,400 CHAMBERS STREET,D8,03170300
1000160205,MN,16,205,101,317.03,2000,455 NORTH END AVENUE,D8,03170300
1000160210,MN,16,210,101,317.03,1000,399 CHAMBERS STREET,D8,03170300
1000160215,MN,16,215,101,317.03,1000,345 CHAMBERS STREET,W1,03170300
1000160220,MN,16,220,101,317.03,2002,450 NORTH END AVENUE,W1,03170300
